id,Age,Gender,Org
1.29441E+18,<=18,female,non-org
9.1824E+17,<=18,male,non-org
573042416,19-29,male,non-org
1.44443E+18,19-29,female,non-org
7.45662E+17,>=40,male,non-org
1.11321E+18,19-29,male,non-org
87489953,<=18,male,non-org
15002221,19-29,male,non-org
1.3092E+18,19-29,male,non-org
1.3092E+18,19-29,male,non-org
1.23897E+18,<=18,female,non-org
1.23897E+18,<=18,female,non-org
1.23897E+18,<=18,female,non-org
1.38137E+18,30-39,male,non-org
336252507,>=40,female,non-org
1.40528E+18,>=40,male,is-org
8.21584E+17,19-29,male,non-org
1672412803,<=18,female,non-org
9.04049E+17,19-29,male,non-org
9.04049E+17,19-29,male,non-org
1.33785E+18,<=18,male,non-org
7.36553E+17,<=18,male,non-org
1.44418E+18,19-29,male,non-org
85157060,19-29,female,non-org
191292490,>=40,male,is-org
2275182674,19-29,male,non-org
301831751,>=40,male,non-org
1.41167E+18,30-39,male,non-org
149714640,19-29,female,non-org
2267606845,<=18,male,non-org
1.20195E+18,19-29,male,non-org
1.02236E+18,19-29,male,is-org
1.03597E+18,<=18,male,non-org
3015981325,19-29,female,non-org
1.4245E+18,19-29,male,non-org
88076479,19-29,male,non-org
1.08219E+18,<=18,male,non-org
234720404,>=40,male,is-org
234720404,>=40,male,is-org
4195377765,19-29,female,non-org
1.40451E+18,>=40,male,non-org
243508023,19-29,male,non-org
3782141842,<=18,male,non-org
1.44695E+18,<=18,male,non-org
1.12259E+18,>=40,male,non-org
1.0678E+18,<=18,female,non-org
1.33852E+18,30-39,male,non-org
570524532,<=18,female,is-org
816364699,19-29,male,non-org
1097189011,>=40,male,non-org
1097189011,>=40,male,non-org
2684575452,>=40,female,non-org
8.38642E+17,19-29,male,non-org
1.08769E+18,19-29,male,non-org
1.08769E+18,19-29,male,non-org
750328885,<=18,female,non-org
1.18454E+18,19-29,female,non-org
9.34773E+17,19-29,male,non-org
7.73489E+17,<=18,male,non-org
1.40084E+18,>=40,female,is-org
1.40084E+18,>=40,female,is-org
26170620,19-29,female,non-org
50851085,>=40,male,non-org
1.40565E+18,>=40,male,is-org
1.3687E+18,>=40,male,is-org
17513838,>=40,male,non-org
1.12903E+18,19-29,female,non-org
1.01235E+18,<=18,female,non-org
1.40925E+18,>=40,male,non-org
1.40925E+18,>=40,male,non-org
1.41632E+18,>=40,female,is-org
1.41632E+18,>=40,female,is-org
1.41632E+18,>=40,female,is-org
3230241746,19-29,male,non-org
217202582,30-39,male,non-org
66527191,19-29,male,non-org
66682672,>=40,male,non-org
48460589,19-29,male,non-org
19349332,>=40,male,is-org
9.7942E+17,>=40,male,non-org
9.19171E+17,>=40,male,is-org
1.41384E+18,19-29,female,non-org
710092536,30-39,female,non-org
1.41467E+18,>=40,male,non-org
702323437,19-29,female,non-org
3049444353,19-29,male,non-org
1.36319E+18,>=40,male,non-org
90001264,<=18,female,non-org
18956073,>=40,male,is-org
2946629577,19-29,female,non-org
8.2805E+17,<=18,female,non-org
75167679,<=18,male,non-org
1552515972,<=18,female,non-org
1.40344E+18,>=40,male,is-org
1.43176E+18,>=40,male,non-org
338827367,>=40,male,non-org
338827367,>=40,male,non-org
9.89836E+17,>=40,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
209623896,30-39,male,non-org
1.32445E+18,<=18,male,non-org
2231990006,30-39,male,non-org
1.3081E+18,19-29,male,non-org
104029776,30-39,male,non-org
8.32192E+17,<=18,male,is-org
9.10294E+17,30-39,male,non-org
8.04323E+17,>=40,male,non-org
257494199,30-39,female,non-org
8.11316E+17,19-29,male,non-org
1.10483E+18,19-29,male,non-org
172401964,<=18,male,non-org
