,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Age,Gender,Org
0,1233904773616656385,1233902822522884096,2020-03-01 01:59:57 Egypt Standard Time,2020-03-01,01:59:57,200,1142486779133485056,an1ndyarr,Anin.,,"@kia_ehhkia nih urang baiq, 💜😅",in,[],[],[],0,0,0,[],[],https://twitter.com/an1ndyarr/status/1233904773616656385,False,,0,,,,,,,,[],,,,,<=18,male,non-org
1,1233904745070419970,1233690769594224644,2020-03-01 01:59:50 Egypt Standard Time,2020-03-01,01:59:50,200,1087745586642763776,koondharmehmood,Mehmood Koondhar,,"@NasirShahOffice @BBhuttoZardari @SyedNasirHShah SAEIN,,Shaheed Z.A.Bhutto sb""kehty thn EK MEN BHUTTO HON,aur EK YE AWAM BHUTTO Hn"" Saein, S.B.BHUTTO bhi kehti thein Ye GOVTapki h tau DiL khush hojata tha"" Pr AjkaL Ye sindh govt Tau 2012 Waly Bechary TEACHERS ko   7SaaL se SALARY Apna HAQ bhi Nhi De rahi Kia HUMapky Nhi hn kia?",hi,[],[],[],0,0,0,[],[],https://twitter.com/KoondharMehmood/status/1233904745070419970,False,,0,,,,,,,,"[{'screen_name': 'NasirShahOffice', 'name': ""SyedNasirHussainShah's Office"", 'id': '982303393753448450'}, {'screen_name': 'BBhuttoZardari', 'name': 'BilawalBhuttoZardari', 'id': '339040963'}, {'screen_name': 'SyedNasirHShah', 'name': 'Syed Nasir Hussain Shah', 'id': '3297577034'}]",,,,,>=40,male,non-org
2,1233904563419144192,1233777413907087360,2020-03-01 01:59:07 Egypt Standard Time,2020-03-01,01:59:07,200,1128126416409640960,rrj1705,🌻RRJ🌏🕊,,@_kiatakahashi Gudluck Kia gudmorning😘 #KiaraTakahashi,tl,[],[],[],0,0,0,['kiaratakahashi'],[],https://twitter.com/RRJ1705/status/1233904563419144192,False,,0,,,,,,,,"[{'screen_name': '_kiatakahashi', 'name': 'Kiara Takahashi', 'id': '1158374873648861184'}]",,,,,19-29,male,non-org
3,1233904513070878722,1233837573967089665,2020-03-01 01:58:55 Egypt Standard Time,2020-03-01,01:58:55,200,708093688086286336,boatbaggybagg,jafek,,"@kia_lynee My fav villagers are scoot, bob, and cherry! Can’t wait for New Horizons!",en,[],[],[],0,0,0,[],[],https://twitter.com/boatbaggybagg/status/1233904513070878722,False,,0,,,,,,,,"[{'screen_name': 'kia_lynee', 'name': 'kia 🖤', 'id': '913753432854581248'}]",,,,,<=18,male,non-org
4,1233904512911409156,1233894167434190849,2020-03-01 01:58:55 Egypt Standard Time,2020-03-01,01:58:55,200,1231234703006556163,arzurajput12,(shehnazian)❤💙💜,,@yaman_parmar Hahaha kia nhi tmhy n bol rhi me bs song continue kr rhi thi tmhy to faltu me khush hogay🙈🙈😂😂,tl,[],[],[],0,0,0,[],[],https://twitter.com/ArzuRajput12/status/1233904512911409156,False,,0,,,,,,,,"[{'screen_name': 'yaman_parmar', 'name': 'Nehanth', 'id': '1218969594095796224'}]",,,,,<=18,female,non-org
5,1233904400009023489,1233837573967089665,2020-03-01 01:58:28 Egypt Standard Time,2020-03-01,01:58:28,200,133792474,kingisx,SIVA'S X-10,,"@kia_lynee @ParadoxyIntent Isabella, Cherry, Ankha, Bianca, Alice, Penelope, Redd. Also can Wolf Link count from his twilight amiibo works with the game?",en,[],[],[],0,0,0,[],[],https://twitter.com/KingisX/status/1233904400009023489,False,,0,,,,,,,,"[{'screen_name': 'kia_lynee', 'name': 'kia 🖤', 'id': '913753432854581248'}, {'screen_name': 'ParadoxyIntent', 'name': '🔞 Paradoxy the Eldritch Dugnutt', 'id': '2780104033'}]",,,,,<=18,male,non-org
6,1233904163765006336,1233903270910988289,2020-03-01 01:57:32 Egypt Standard Time,2020-03-01,01:57:32,200,1211655679519232006,gandaba90842596,garm lund garm lund,,@Misha22331 Uffffff Kia mst jwani,pl,[],[],[],0,0,1,[],[],https://twitter.com/GandaBa90842596/status/1233904163765006336,False,,0,,,,,,,,"[{'screen_name': 'Misha22331', 'name': 'Nita bhabhi', 'id': '1148010922377506816'}]",,,,,<=18,male,non-org
7,1233904118965657600,1233901319154434048,2020-03-01 01:57:21 Egypt Standard Time,2020-03-01,01:57:21,200,2226692431,zaineee_here,زینب♥️,,@Gujjartheysay Oye hoye boss kia baat ker de😂👍👍,in,[],[],[],1,0,1,[],[],https://twitter.com/zaineee_here/status/1233904118965657600,False,,0,,,,,,,,"[{'screen_name': 'Gujjartheysay', 'name': '•A S I M•', 'id': '978255793324740613'}]",,,,,19-29,female,non-org
8,1233904078188503041,1233837573967089665,2020-03-01 01:57:11 Egypt Standard Time,2020-03-01,01:57:11,200,1087020844251983872,lollyacnl,🌸Megan🌸,,"@kia_lynee Favorite villagers: Lolly, Rudy, Puddles, Olivia 💕💕💕",en,[],[],[],0,0,0,[],[],https://twitter.com/LollyACNL/status/1233904078188503041,False,,0,,,,,,,,"[{'screen_name': 'kia_lynee', 'name': 'kia 🖤', 'id': '913753432854581248'}]",,,,,19-29,female,non-org
9,1233904047540690944,1233837573967089665,2020-03-01 01:57:04 Egypt Standard Time,2020-03-01,01:57:04,200,940848585645744128,jojotheastand,Summer Norne +10!,,@kia_lynee Mitzi: Had her since my first town on the GameCube AC. Named a cat after her Stitches: Had him in WW before I knew he was so popular. Ended up also being one of my starters for NL Sydney: Cute purple Koala is very Cute Mira: AC's version of a Sailor Moon character,en,[],[],[],0,0,0,[],[],https://twitter.com/jojotheastand/status/1233904047540690944,False,,0,,,,,,,,"[{'screen_name': 'kia_lynee', 'name': 'kia 🖤', 'id': '913753432854581248'}]",,,,,30-39,female,non-org
10,1233904046563397632,1233904046563397632,2020-03-01 01:57:04 Egypt Standard Time,2020-03-01,01:57:04,200,3265603201,dontfactsmatter,Jim Crow was a Democrat,,"The Coeur d'Alene Press - My Turn, We were soldiers once; call to #veterans  #PTSD is real.  But a traumatic event is needed  That’s missing w IRAQ AFGHAN Vets w LOWEST Combat exposure, wounded &amp; KIA since Spanish America War   Missing buddies isn’t PTSD  https://t.co/R1OuqauebW",en,[],['https://www.cdapress.com/my_turn/20200229/we_weresoldiers_once_callto_veterans'],[],0,0,0,"['veterans', 'ptsd']",[],https://twitter.com/DontFactsMatter/status/1233904046563397632,False,,0,,,,,,,,[],,,,,>=40,male,non-org
11,1233903941601107968,1233903941601107968,2020-03-01 01:56:39 Egypt Standard Time,2020-03-01,01:56:39,200,31333191,nismoroger,As the Rush Comes 🇫🇷,,¿A ustedes también les da pena salir con un logo de Kia?,es,[],[],[],1,0,1,[],[],https://twitter.com/nismoroger/status/1233903941601107968,False,,0,,,,,,,,[],,,,,30-39,male,non-org
12,1233903798742990848,1233902992635486210,2020-03-01 01:56:05 Egypt Standard Time,2020-03-01,01:56:05,200,955513507423797249,ijn_dd_hatukaze,愛でるはつかぜ,,@KIA_Arashi おはよー）,ja,[],[],[],0,0,0,[],[],https://twitter.com/IJN_DD_Hatukaze/status/1233903798742990848,False,,0,,,,,,,,"[{'screen_name': 'KIA_Arashi', 'name': 'ワクチン2回目に備えるあらし。', 'id': '785302217108488192'}]",,,,,30-39,female,non-org
13,1233903738114453504,1233902180047953924,2020-03-01 01:55:50 Egypt Standard Time,2020-03-01,01:55:50,200,1125286707002318849,happiestladieee,و۔🍴,,@GoSleepBilal Nasha vasha to ni kia?,et,[],[],[],2,0,0,[],[],https://twitter.com/happiestladieee/status/1233903738114453504,False,,0,,,,,,,,[],,,,,19-29,female,non-org
14,1233903620115980288,1233837573967089665,2020-03-01 01:55:22 Egypt Standard Time,2020-03-01,01:55:22,200,1164814455839973376,saitsoda,00:00:00:00,,@kia_lynee blanca and wolfgang if like- blathers and celeste and brewster count then them as well lovely birds,en,[],[],[],0,0,0,[],[],https://twitter.com/saItsoda/status/1233903620115980288,False,,0,,,,,,,,"[{'screen_name': 'kia_lynee', 'name': 'kia 🖤', 'id': '913753432854581248'}]",,,,,<=18,male,non-org
15,1233903547605028865,1233848095751929858,2020-03-01 01:55:05 Egypt Standard Time,2020-03-01,01:55:05,200,925615925092651008,qaisarbashir786,Qaisar Bashir Syed,,@MuzniShah Wese mtlb kia tha?🙄,et,[],[],[],0,0,0,[],[],https://twitter.com/QaisarBashir786/status/1233903547605028865,False,,0,,,,,,,,[],,,,,19-29,male,non-org
16,1233903532287365122,1233903532287365122,2020-03-01 01:55:01 Egypt Standard Time,2020-03-01,01:55:01,200,264549701,borjagiron,Borja Girón,,El anuncio del KIA de la final de tenis Australian Open 2014  https://t.co/Oi2xBfhNQO #internet  https://t.co/TlmvQIa2B1,es,[],['https://www.borjagiron.com/internet/el-anuncio-kia-final-australia-tenia-nadal-wawrinka/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost'],['https://pbs.twimg.com/media/ER-0uMkXsAA2OaM.jpg'],0,0,0,['internet'],[],https://twitter.com/borjagiron/status/1233903532287365122,False,,1,https://pbs.twimg.com/media/ER-0uMkXsAA2OaM.jpg,,,,,,,[],,,,,30-39,male,non-org
17,1233903398497374208,1233901583164772352,2020-03-01 01:54:29 Egypt Standard Time,2020-03-01,01:54:29,200,1648874960,syaaamilllll,Mil,,@keyafesal Ada lemak ka hg kia oi,in,[],[],[],1,0,0,[],[],https://twitter.com/syaaamilllll/status/1233903398497374208,False,,0,,,,,,,,"[{'screen_name': 'keyafesal', 'name': 'kialosophy', 'id': '2213505602'}]",,,,,19-29,male,non-org
18,1233903335067004928,1233809116579221504,2020-03-01 01:54:14 Egypt Standard Time,2020-03-01,01:54:14,200,1211625000626573313,hasnainhingoro9,HasnainHingoro,,@MuradSaeedPTI Sir Jii 5 Rupe Kum kr ke Awaam ko Relief dia wo ap Tweet kr rhe hain Jb Paise Increase hote hain tb ap kahn Gyb ho jate hain Achi bt ha Petrol Prices kum hui ab Thoda relief mile ga Mehngai kum Hogi but Jb Prices Increase hoti hain tb bi Tweet Kia Kren,in,[],[],[],0,0,0,[],[],https://twitter.com/HasnainHingoro9/status/1233903335067004928,False,,0,,,,,,,,"[{'screen_name': 'MuradSaeedPTI', 'name': 'Murad Saeed', 'id': '1349435910'}]",,,,,19-29,male,non-org
19,1233903301655060480,1232941107207499777,2020-03-01 01:54:06 Egypt Standard Time,2020-03-01,01:54:06,200,703190564406038529,nguyent19077680,chip1003,,@rainie_mike93 C ơi c mua chai pure kia ở đâu vậy vậy ạ.,vi,[],[],[],0,0,0,[],[],https://twitter.com/nguyent19077680/status/1233903301655060480,False,,0,,,,,,,,"[{'screen_name': 'rainie_mike93', 'name': 'HereIAmForYoonA #HUSH #MIRACLE', 'id': '497748522'}]",,,,,<=18,male,non-org
20,1233903191751843841,1233743101916639233,2020-03-01 01:53:40 Egypt Standard Time,2020-03-01,01:53:40,200,58057163,yaseen2,Yas,,@narendramodi Hindu Muslim Mandir Masjid ka masla hal ho gia kia.,in,[],[],[],0,0,0,[],[],https://twitter.com/YASEEN2/status/1233903191751843841,False,,0,,,,,,,,"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,<=18,male,non-org
21,1233903135501873153,1233903135501873153,2020-03-01 01:53:26 Egypt Standard Time,2020-03-01,01:53:26,200,1233120962536624129,formaciojose,José Gerardo Chantes Formacio,,Kia cambiará de logotipo: mira por qué – La Opinión  https://t.co/yFPuuhzZjO,es,[],['https://laopinion.com/2020/02/27/kia-cambiara-de-logotipo-mira-por-que/'],[],0,0,0,[],[],https://twitter.com/FormacioJose/status/1233903135501873153,False,,0,,,,,,,,[],,,,,>=40,male,non-org
